	PLAYER_ID	PLAYER_NAME	0	1	rank
187	202324	Derrick Favors	393.0	418	187
188	202325	Wesley Johnson	305.0	202	188
189	202326	DeMarcus Cousins	731.0	601	189
190	202328	Greg Monroe	450.0	491	190
191	202329	Al-Farouq Aminu	419.0	299	191
192	202330	Gordon Hayward	681.0	521	192
193	202331	Paul George	842.0	603	193
194	202332	Cole Aldrich	91.0	134	194
195	202334	Ed Davis	131.0	206	195
196	202335	Patrick Patterson	288.0	204	196
197	202337	Luke Babbitt	167.0	122	197
198	202338	Kevin Seraphin	121.0	84	198
199	202339	Eric Bledsoe	269.0	223	199
200	202340	Avery Bradley	562.0	456	200
202	202344	Trevor Booker	198.0	190	202
205	202355	Hassan Whiteside	269.0	413	205
206	202357	Nemanja Bjelica	125.0	110	206
207	202362	Lance Stephenson	246.0	228	207
208	202379	Jeremy Evans	22.0	26	208
210	202389	Timofey Mozgov	156.0	203	210
211	202391	Jeremy Lin	428.0	300	211
212	202397	Ish Smith	570.0	397	212
213	202498	Lance Thomas	212.0	169	213
214	202681	Kyrie Irving	485.0	394	214
215	202682	Derrick Williams	311.0	253	215
216	202683	Enes Kanter	305.0	414	216
217	202684	Tristan Thompson	173.0	247	217
218	202685	Jonas Valanciunas	233.0	303	218
219	202687	Bismack Biyombo	132.0	156	219
220	202688	Brandon Knight	523.0	371	220
221	202689	Kemba Walker	763.0	568	221
222	202691	Klay Thompson	735.0	651	222
223	202692	Alec Burks	197.0	137	223
224	202693	Markieff Morris	413.0	305	224
225	202694	Marcus Morris	535.0	410	225
226	202695	Kawhi Leonard	537.0	551	226
227	202696	Nikola Vucevic	513.0	533	227
229	202699	Tobias Harris	472.0	417	229
231	202702	Kenneth Faried	277.0	349	231
232	202703	Nikola Mirotic	361.0	248	232
233	202704	Reggie Jackson	704.0	540	233
235	202708	Norris Cole	288.0	196	235
236	202709	Cory Joseph	327.0	257	236
237	202710	Jimmy Butler	565.0	470	237
238	202711	Bojan Bogdanovic	424.0	324	238
239	202713	Kyle Singler	135.0	86	239
241	202718	Chandler Parsons	331.0	320	241
242	202720	Jon Leuer	242.0	224	242
244	202730	Lavoy Allen	179.0	191	244
245	202734	E'Twaun Moore	202.0	187	245
246	202738	Isaiah Thomas	791.0	591	246
248	203076	Anthony Davis	576.0	560	248
250	203078	Bradley Beal	439.0	359	250
251	203079	Dion Waiters	423.0	282	251
253	203081	Damian Lillard	855.0	618	253
254	203082	Terrence Ross	353.0	270	254
255	203083	Andre Drummond	508.0	552	255
256	203084	Harrison Barnes	338.0	295	256
257	203085	Austin Rivers	288.0	226	257
258	203086	Meyers Leonard	239.0	195	258
259	203087	Jeremy Lamb	280.0	230	259
262	203090	Maurice Harkless	216.0	195	262
263	203092	Tyler Zeller	152.0	138	263
264	203093	Terrence Jones	201.0	165	264
265	203094	Andrew Nicholson	164.0	146	265
266	203095	Evan Fournier	499.0	429	266
267	203096	Jared Sullinger	455.0	351	267
268	203098	John Jenkins	89.0	71	268
271	203105	Festus Ezeli	103.0	125	271
272	203109	Jae Crowder	452.0	360	272
273	203110	Draymond Green	418.0	401	273
275	203114	Khris Middleton	635.0	507	275
276	203115	Will Barton	558.0	425	276
277	203118	Mike Scott	200.0	176	277
278	203124	Kyle O'Quinn	142.0	129	278
280	203138	Hollis Thompson	409.0	270	280
281	203141	Mirza Teletovic	445.0	332	281
283	203145	Kent Bazemore	405.0	319	283
284	203148	Brian Roberts	91.0	74	284
289	203210	JaMychal Green	265.0	230	289
291	203382	Aron Baynes	190.0	194	291
292	203457	Nerlens Noel	281.0	306	292
293	203458	Alex Len	360.0	264	293
294	203459	Allen Crabbe	366.0	311	294
295	203460	Andre Roberson	137.0	136	295
297	203463	Ben McLemore	260.0	195	297
298	203468	CJ McCollum	790.0	641	298
299	203469	Cody Zeller	206.0	231	299
300	203471	Dennis Schroder	452.0	329	300
302	203476	Gorgui Dieng	271.0	308	302
303	203477	Isaiah Canaan	462.0	260	303
304	203481	Jeff Withey	75.0	87	304
305	203482	Kelly Olynyk	303.0	253	305
306	203484	Kentavious Caldwell-Pope	556.0	403	306
308	203486	Mason Plumlee	250.0	267	308
309	203487	Michael Carter-Williams	304.0	251	309
311	203490	Otto Porter Jr.	377.0	339	311
313	203496	Robert Covington	438.0	274	313
314	203497	Rudy Gobert	156.0	198	314
315	203498	Shabazz Muhammad	364.0	317	315
316	203499	Shane Larkin	280.0	222	316
317	203500	Steven Adams	165.0	261	317
319	203503	Tony Snell	213.0	126	319
320	203504	Trey Burke	372.0	262	320
321	203506	Victor Oladipo	545.0	425	321
322	203507	Giannis Antetokounmpo	499.0	512	322
326	203521	Matthew Dellavedova	304.0	207	326
328	203526	Raul Neto	238.0	180	328
330	203530	Joffrey Lauvergne	185.0	195	330
331	203546	Ian Clark	113.0	88	331
335	203798	PJ Hairston	263.0	145	335
338	203897	Zach LaVine	526.0	433	338
341	203901	Elfrid Payton	411.0	318	341
342	203903	Jordan Clarkson	622.0	474	342
346	203914	Gary Harris	406.0	359	346
348	203917	Nik Stauskas	335.0	210	348
349	203918	Rodney Hood	564.0	408	349
354	203924	Jerami Grant	348.0	251	354
355	203926	Doug McDermott	353.0	291	355
357	203932	Aaron Gordon	304.0	274	357
358	203933	TJ Warren	220.0	221	358
359	203934	Lamar Patterson	52.0	28	359
360	203935	Marcus Smart	345.0	184	360
361	203937	Kyle Anderson	157.0	138	361
362	203939	Dwight Powell	150.0	146	362
364	203943	Noah Vonleh	161.0	117	364
365	203944	Julius Randle	477.0	358	365
368	203949	James Michael McAdoo	39.0	45	368
369	203952	Andrew Wiggins	700.0	594	369
370	203953	Jabari Parker	456.0	443	370
373	203960	JaKarr Sampson	176.0	140	373
377	203991	Clint Capela	166.0	231	377
381	203999	Nikola Jokic	293.0	307	381
382	204001	Kristaps Porzingis	513.0	373	382
385	204020	Tyler Johnson	125.0	118	385
386	204025	Tim Frazier	133.0	96	386
388	204038	Langston Galloway	357.0	231	388
389	204060	Joe Ingles	167.0	124	389
392	204456	T.J. McConnell	246.0	218	392
393	1626143	Jahlil Okafor	384.0	397	393
394	1626144	Emmanuel Mudiay	576.0	329	394
397	1626147	Justin Anderson	104.0	71	397
402	1626154	RJ Hunter	62.0	36	402
403	1626156	D'Angelo Russell	563.0	391	403
404	1626157	Karl-Anthony Towns	528.0	625	404
406	1626159	Justise Winslow	266.0	195	406
408	1626162	Kelly Oubre Jr.	121.0	90	408
409	1626163	Frank Kaminsky	310.0	215	409
410	1626164	Devin Booker	500.0	367	410
411	1626166	Cameron Payne	164.0	114	411
413	1626168	Trey Lyles	245.0	191	413
414	1626169	Stanley Johnson	373.0	225	414
415	1626170	Jerian Grant	237.0	154	415
416	1626171	Bobby Portis	250.0	186	416
422	1626178	Rondae Hollis-Jefferson	75.0	63	422
432	1626204	Larry Nance Jr.	142.0	158	432
441	1626273	Marcelo Huertas	133.0	97	441
