PLAYER_ID,PLAYER_NAME,0,1,rank
202083,Wesley Matthews,523,331,183
202087,Alonzo Gee,123,132,184
202322,John Wall,776,571,185
202323,Evan Turner,410,343,186
202324,Derrick Favors,393,418,187
202325,Wesley Johnson,305,202,188
202326,DeMarcus Cousins,731,601,189
202328,Greg Monroe,450,491,190
202329,Al-Farouq Aminu,419,299,191
202330,Gordon Hayward,681,521,192
202331,Paul George,842,603,193
202332,Cole Aldrich,91,134,194
202334,Ed Davis,131,206,195
202335,Patrick Patterson,288,204,196
202337,Luke Babbitt,167,122,197
202338,Kevin Seraphin,121,84,198
202339,Eric Bledsoe,269,223,199
202340,Avery Bradley,562,456,200
202341,James Anderson,111,67,201
202344,Trevor Booker,198,190,202
202349,Greivis Vasquez,93,45,203
202353,Tibor Pleiss,14,11,204
202355,Hassan Whiteside,269,413,205
202357,Nemanja Bjelica,125,110,206
202362,Lance Stephenson,246,228,207
202379,Jeremy Evans,22,26,208
202388,Donald Sloan,196,153,209
202389,Timofey Mozgov,156,203,210
202391,Jeremy Lin,428,300,211
202397,Ish Smith,570,397,212
202498,Lance Thomas,212,169,213
202681,Kyrie Irving,485,394,214
202682,Derrick Williams,311,253,215
202683,Enes Kanter,305,414,216
202684,Tristan Thompson,173,247,217
202685,Jonas Valanciunas,233,303,218
202687,Bismack Biyombo,132,156,219
202688,Brandon Knight,523,371,220
202689,Kemba Walker,763,568,221
202691,Klay Thompson,735,651,222
202692,Alec Burks,197,137,223
202693,Markieff Morris,413,305,224
202694,Marcus Morris,535,410,225
202695,Kawhi Leonard,537,551,226
202696,Nikola Vucevic,513,533,227
202697,Iman Shumpert,190,114,228
202699,Tobias Harris,472,417,229
202700,Donatas Motiejunas,115,90,230
202702,Kenneth Faried,277,349,231
202703,Nikola Mirotic,361,248,232
202704,Reggie Jackson,704,540,233
202706,Jordan Hamilton,67,49,234
202708,Norris Cole,288,196,235
202709,Cory Joseph,327,257,236
202710,Jimmy Butler,565,470,237
202711,Bojan Bogdanovic,424,324,238
202713,Kyle Singler,135,86,239
202714,Shelvin Mack,233,182,240
202718,Chandler Parsons,331,320,241
202720,Jon Leuer,242,224,242
202726,Andrew Goudelock,11,9,243
202730,Lavoy Allen,179,191,244
202734,E'Twaun Moore,202,187,245
202738,Isaiah Thomas,791,591,246
202962,Greg Smith,14,18,247
203076,Anthony Davis,576,560,248
203077,Michael Kidd-Gilchrist,28,33,249
203078,Bradley Beal,439,359,250
203079,Dion Waiters,423,282,251
203080,Thomas Robinson,161,130,252
203081,Damian Lillard,855,618,253
203082,Terrence Ross,353,270,254
203083,Andre Drummond,508,552,255
203084,Harrison Barnes,338,295,256
203085,Austin Rivers,288,226,257
203086,Meyers Leonard,239,195,258
203087,Jeremy Lamb,280,230,259
203088,Kendall Marshall,75,43,260
203089,John Henson,127,164,261
203090,Maurice Harkless,216,195,262
203092,Tyler Zeller,152,138,263
203093,Terrence Jones,201,165,264
203094,Andrew Nicholson,164,146,265
203095,Evan Fournier,499,429,266
203096,Jared Sullinger,455,351,267
203098,John Jenkins,89,71,268
203100,Tony Wroten,43,22,269
203101,Miles Plumlee,93,140,270
203105,Festus Ezeli,103,125,271
203109,Jae Crowder,452,360,272
203110,Draymond Green,418,401,273
203112,Quincy Acy,94,119,274
203114,Khris Middleton,635,507,275
203115,Will Barton,558,425,276
203118,Mike Scott,200,176,277
203124,Kyle O'Quinn,142,129,278
203135,Robert Sacre,44,31,279
203138,Hollis Thompson,409,270,280
203141,Mirza Teletovic,445,332,281
203143,Pablo Prigioni,92,54,282
203145,Kent Bazemore,405,319,283
203148,Brian Roberts,91,74,284
203156,Henry Sims,44,33,285
203186,Willie Reed,57,76,286
203187,Chris Johnson,122,72,287
203200,Justin Holiday,140,88,288
203210,JaMychal Green,265,230,289
203268,Jorge Gutierrez,5,6,290
203382,Aron Baynes,190,194,291
203457,Nerlens Noel,281,306,292
203458,Alex Len,360,264,293
203459,Allen Crabbe,366,311,294
203460,Andre Roberson,137,136,295
203462,Archie Goodwin,245,176,296
203463,Ben McLemore,260,195,297
203468,CJ McCollum,790,641,298
203469,Cody Zeller,206,231,299
203471,Dennis Schroder,452,329,300
203473,Dewayne Dedmon,78,99,301
203476,Gorgui Dieng,271,308,302
203477,Isaiah Canaan,462,260,303
203481,Jeff Withey,75,87,304
203482,Kelly Olynyk,303,253,305
203484,Kentavious Caldwell-Pope,556,403,306
203485,Lorenzo Brown,17,8,307
203486,Mason Plumlee,250,267,308
203487,Michael Carter-Williams,304,251,309
203488,Mike Muscala,76,76,310
203490,Otto Porter Jr.,377,339,311
203493,Reggie Bullock,55,43,312
203496,Robert Covington,438,274,313
203497,Rudy Gobert,156,198,314
203498,Shabazz Muhammad,364,317,315
203499,Shane Larkin,280,222,316
203500,Steven Adams,165,261,317
203501,Tim Hardaway Jr.,151,114,318
203503,Tony Snell,213,126,319
203504,Trey Burke,372,262,320
203506,Victor Oladipo,545,425,321
203507,Giannis Antetokounmpo,499,512,322
203508,Sergey Karasev,44,30,323
203512,Lucas Nogueira,16,28,324
203516,James Ennis III,58,54,325
203521,Matthew Dellavedova,304,207,326
203524,Solomon Hill,115,93,327
203526,Raul Neto,238,180,328
203527,Ryan Kelly,94,55,329
203530,Joffrey Lauvergne,185,195,330
203546,Ian Clark,113,88,331
203552,Seth Curry,122,102,332
203584,Troy Daniels,98,89,333
203613,Jonathon Simmons,120,122,334
203798,PJ Hairston,263,145,335
203894,Shabazz Napier,133,68,336
203895,Jordan McRae,44,34,337
203897,Zach LaVine,526,433,338
203898,Tyler Ennis,103,84,339
203900,Markel Brown,195,127,340
203901,Elfrid Payton,411,318,341
203903,Jordan Clarkson,622,474,342
203906,Devyn Marble,50,21,343
203909,KJ McDaniels,43,29,344
203912,CJ Wilcox,39,26,345
203914,Gary Harris,406,359,346
203915,Spencer Dinwiddie,35,19,347
203917,Nik Stauskas,335,210,348
203918,Rodney Hood,564,408,349
