player_id,game_id,event_id,game_clock,shot_clock,x_loc,y_loc,player_id_closest_defender,closest_distance_from_shooter,distance_from_basket,shot_made_flag,recorded_shot_distance,shooter_embedding_index,defender_embedding_index
201143,21500001,228,1346.48,10.44,5.907040000000023,38.78493,203083,4.823530114967665,14.088121828920285,1,13,98,255
202704,21500001,437,2575.29,13.97,19.949439999999996,21.56599,200794,0.8852408366653659,17.29381221690868,0,1,233,94
2594,21500001,477,2721.36,11.19,22.6234,11.06127,203484,2.3680969938961525,24.070023298137873,1,20,46,306
2594,21500001,507,2831.96,17.99,22.474870000000006,13.84307,202704,5.11865603636345,22.44432330327204,0,21,46,233
203076,21500003,504,2421.86,8.87,24.98951,35.88171,202691,2.62928786641935,24.53467266062867,1,16,248,222
202685,21500009,2,14.879999999999995,,8.683880000000002,36.57898,101145,1.857882614698786,12.898808847905299,1,13,218,77
200768,21500009,357,1866.28,24.0,20.83581,9.15097,201588,2.925150470420284,23.86017330819288,0,19,90,144
201960,21500009,371,1977.88,11.0,18.2769,35.93933,101145,2.42466927280815,18.78969436842707,0,8,170,77
201941,21500009,389,2044.16,2.04,26.024919999999995,24.28472,202687,3.933746869944729,23.036027576055723,0,22,158,219
203471,21500019,367,1957.08,0.82,28.274140000000003,34.706579999999995,1626170,4.234748302697576,27.07396993490242,0,24,300,415
1626147,21500020,81,425.28,7.28,3.1493700000000047,2.6514900000000003,1718,13.44499797867593,22.349009164099424,0,25,397,5
101108,21500020,308,1437.1799999999996,,15.71428,11.85766,203939,7.155124814816301,18.285896658189884,1,16,65,362
2734,21500020,322,1527.59,15.9,25.734,40.68307,200755,12.846880930190801,27.618715405045545,1,26,50,87
2746,21500020,483,2325.19,24.0,9.210189999999997,25.6841,203939,2.490213080561582,6.247755808776457,0,2,55,362
101111,21500020,520,2548.17,10.06,21.883370000000006,5.90798,203085,6.228394415617882,26.853061096219555,0,25,67,257
201571,21500044,145,714.38,,25.970640000000003,35.76849,203999,8.141148242140046,25.36948322078517,0,24,128,381
2749,21500044,194,914.09,15.33,25.72179,24.52988,201571,3.448940561230363,22.72665293479222,0,13,57,128
203084,21500051,4,29.289999999999967,14.53,10.72512,32.556940000000004,2754,1.1149715063623866,10.80670260430998,0,11,256,58
201188,21500051,83,493.08,0.68,7.37285,7.2304,203110,7.263296926837014,18.299740470359136,1,18,116,273
202687,21500066,182,983.47,15.9,3.93754,22.23761,202683,6.290354805485934,2.9171526809030754,1,0,219,216
202692,21500068,549,2741.78,18.8,12.096159999999998,14.69741,203468,1.654549500135933,13.743488911251756,1,2,223,298
202689,21500072,8,91.19000000000004,15.53,13.76916,15.97033,1717,5.063709892578759,14.053816115721025,0,13,221,4
2216,21500091,220,1389.1799999999996,10.33,4.498440000000002,26.12956,203918,3.7073479764651194,1.8764935990298528,0,2,18,349
201579,21500095,271,1491.59,6.61,8.1977,29.737340000000003,101181,3.47547099015371,7.032672007537393,1,0,135,82
203944,21500095,341,1841.88,15.1,5.53456,28.79997,204001,2.3937323512247533,4.567687204100122,0,3,365,382
202339,21500097,147,687.78,13.32,5.38036,13.57676,201571,1.6612622634611312,11.668612849315037,0,0,199,128
203462,21500097,565,2659.46,18.45,21.278689999999997,5.23255,203460,10.965839508674202,26.923272230889765,0,24,296,295
101112,21500099,359,2121.78,9.52,21.34743,6.0583300000000015,202331,7.750861064991423,26.370723349840063,0,24,68,193
2755,21500101,150,1018.48,19.68,10.44198,47.93396,201952,10.086733117441938,24.11119216467738,1,23,59,166
201942,21500109,337,1716.56,,20.076219999999978,25.93169,201577,5.150592676770289,17.101617927684483,0,16,159,133
201587,21500111,130,690.08,14.39,29.75397,38.4924,203498,14.051763379693671,29.963640775461517,1,25,143,315
2755,21500111,266,1398.99,24.0,9.702830000000006,38.90177,202689,11.834802387399604,15.433312643168998,1,2,59,221
201587,21500111,394,2143.27,13.45,31.74357,29.26349,203498,5.488963296288285,29.058048167848437,1,23,143,315
1717,21500112,151,834.77,7.28,15.059330000000003,25.52631,203076,5.2982217835137915,12.070809511586207,1,9,4,248
203488,21500117,418,2218.96,1.23,6.07595,22.43995,201962,3.4722733138968205,4.001915092177744,0,0,310,172
203081,21500123,269,1726.27,18.03,13.20469,41.30929,2225,4.295963979888565,19.238727564477852,0,18,253,19
2561,21500123,341,2051.19,10.83,8.055149999999998,27.99908,202334,1.8234363513432272,5.877841642040042,1,2,36,195
202695,21500123,381,2315.06,5.64,18.807819999999978,18.24166,202329,2.469978382111858,17.191926381531516,1,0,226,191
203096,21500129,37,256.77,,12.926119999999997,9.98584,201952,3.7136548803570903,17.998690473476117,1,15,267,166
201565,21500132,514,2807.37,6.95,16.04562,28.09812,201587,1.8383638865578267,13.40845064572339,0,6,123,143
203924,21500142,116,635.56,,5.398910000000001,28.67612,201988,0.08741372089094608,4.389604474494258,1,2,354,181
1626143,21500142,328,1824.88,6.48,12.5564,27.31411,1495,3.3891897704613716,9.832593048229953,1,1,393,2
201575,21500144,34,322.37,10.43,11.805099999999996,3.81141,1626178,8.995660934700686,22.94528562032079,1,24,132,422
203105,21500144,208,1360.78,15.85,15.73518,13.88416,201572,7.061173875305721,16.904044147422237,0,2,271,129
201587,21500147,38,327.27,22.13,32.21702,17.63496,203943,7.241061857580005,30.131015115359123,0,24,143,364
202391,21500147,435,2457.39,9.5,29.804190000000006,37.44431,203459,13.742089131529458,29.552080348635364,0,26,211,294
201587,21500165,394,2096.58,16.63,26.16457,36.29522,202711,5.984871002686694,25.771676277132226,1,25,143,238
