game_id_x,event_id,quarter,z_loc,game_clock,game_id_y,recorded_game_clock,recorded_player_id,recorded_player_name,recorded_loc_x,recorded_loc_y,peak_shot_game_clock
21500617,2,1,1.0395366666666668,13.0,21500617.0,16.0,202322.0,John Wall,-101.0,124.0,14.2
21500617,4,1,1.18086,31.3,21500617.0,34.0,203081.0,Damian Lillard,-7.0,-6.0,32.1
21500617,5,1,10.700265,45.9,21500617.0,47.0,202066.0,Garrett Temple,-119.0,120.0,46.4
21500617,7,1,1.9032066666666667,56.2,21500617.0,59.0,203081.0,Damian Lillard,-174.0,7.0,57.4
21500617,9,1,10.626570000000001,73.9,21500617.0,75.0,203081.0,Damian Lillard,1.0,178.0,74.4
21500617,11,1,2.818766666666667,89.7,21500617.0,93.0,202322.0,John Wall,-4.0,183.0,90.9
21500617,14,1,2.4433533333333335,103.4,21500617.0,106.0,203468.0,CJ McCollum,-179.0,182.0,104.5
21500617,15,1,2.38701,116.1,21500617.0,119.0,202066.0,Garrett Temple,187.0,75.0,117.2
21500617,25,1,1.154665,145.7,21500617.0,149.0,203486.0,Mason Plumlee,4.0,2.0,147.2
21500617,26,1,0.46675,157.5,21500617.0,161.0,202322.0,John Wall,-174.0,56.0,159.0
21500617,28,1,3.3328133333333327,170.4,21500617.0,174.0,203468.0,CJ McCollum,168.0,-1.0,171.3
21500617,30,1,2.89652,195.6,21500617.0,199.0,202329.0,Al-Farouq Aminu,24.0,267.0,197.0
21500617,31,1,1.1710599999999998,216.2,21500617.0,219.0,1626162.0,Kelly Oubre Jr.,-9.0,-6.0,217.6
21500617,37,1,3.2528566666666663,236.4,21500617.0,239.0,201162.0,Jared Dudley,120.0,110.0,237.5
21500617,38,1,11.107213333333334,264.5,21500617.0,266.0,203943.0,Noah Vonleh,1.0,198.0,265.2
21500617,40,1,4.948335,271.0,21500617.0,274.0,202322.0,John Wall,-12.0,-5.0,271.7
21500617,42,1,1.3026533333333334,280.3,21500617.0,283.0,203081.0,Damian Lillard,4.0,0.0,281.3
21500617,44,1,1.722165,288.3,21500617.0,291.0,203468.0,CJ McCollum,-207.0,188.0,289.7
21500617,45,1,4.130075,305.9,21500617.0,309.0,201162.0,Jared Dudley,153.0,28.0,306.9
21500617,50,1,11.022196666666666,344.9,21500617.0,346.0,203468.0,CJ McCollum,43.0,272.0,345.6
21500617,52,1,4.617183333333333,364.7,21500617.0,367.0,101162.0,Marcin Gortat,15.0,-11.0,365.4
21500617,54,1,0.9052833333333333,376.8,21500617.0,380.0,203081.0,Damian Lillard,-233.0,31.0,378.2
21500617,61,1,5.220036666666667,397.4,21500617.0,400.0,101162.0,Marcin Gortat,-29.0,97.0,398.5
21500617,63,1,3.19484,412.1,21500617.0,415.0,203943.0,Noah Vonleh,-43.0,2.0,412.9
21500617,64,1,3.940695,421.3,21500617.0,424.0,2403.0,Nene,-1.0,3.0,422.3
21500617,65,1,4.112970000000001,446.9,21500617.0,449.0,203486.0,Mason Plumlee,12.0,2.0,447.7
21500617,71,1,3.575915,457.6,21500617.0,460.0,2403.0,Nene,112.0,16.0,458.6
